0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:07 +0530] "GET /DigitalGallery/resources/My_Design/%7B%7Bproducts.productid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:07 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:07 +0530] "GET /DigitalGallery/resources/My_Design/addtocart.png HTTP/1.1" 200 17212
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:07 +0530] "GET /DigitalGallery/resources/My_Design/%7B%7Bproducts.productid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:07 +0530] "GET /DigitalGallery/resources/My_Design/102.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/Carddetails?pid=102 HTTP/1.1" 200 8318
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/My_Design/logo.jpg HTTP/1.1" 200 14536
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/My_Design/cart11.png HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/My_Design/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/My_Design/102.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:12 +0530] "GET /DigitalGallery/resources/My_Design/102.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/DisplayProduct HTTP/1.1" 200 8660
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/My_Design/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/My_Design/logo.jpg HTTP/1.1" 200 14536
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/My_Design/cart11.png HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/My_Design/%7B%7Bproduct.productid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:21 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:22 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:22 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:22 +0530] "GET /DigitalGallery/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:22 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:22 +0530] "GET /DigitalGallery/resources/My_Design/%7B%7Bproduct.productid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:22 +0530] "GET /DigitalGallery/resources/My_Design/102.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:22 +0530] "GET /DigitalGallery/resources/My_Design/104.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:22 +0530] "GET /DigitalGallery/resources/My_Design/103.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:23 +0530] "GET /DigitalGallery/showallimages?pid=104 HTTP/1.1" 200 7885
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:23 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:23 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:23 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:23 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:23 +0530] "GET /DigitalGallery/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:23 +0530] "GET /DigitalGallery/resources/My_Design/logo.jpg HTTP/1.1" 200 14536
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:23 +0530] "GET /DigitalGallery/resources/My_Design/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:23 +0530] "GET /DigitalGallery/resources/My_Design/cart11.png HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:23 +0530] "GET /DigitalGallery/resources/My_Design/%7B%7Bproducts.productid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:24 +0530] "GET /DigitalGallery/resources/My_Design/addtocart.png HTTP/1.1" 200 17212
